t_loc,ent,eda,c_ocu11c,ing7c,ambito2,anios_esc,ingocup,mh_col
1,15,54,6,1,2,0,800,0
1,15,66,1,4,4,16,10000,1
1,15,33,5,3,2,12,0,0
1,14,41,1,5,3,17,0,1
1,14,60,3,2,4,12,0,1
1,21,36,5,4,3,9,10750,0
1,2,66,6,3,3,9,15000,1
1,2,49,5,1,2,12,5160,0
3,29,30,5,2,2,9,4300,0
1,2,29,6,7,3,12,0,0
1,17,34,5,7,3,9,0,0
1,23,56,5,4,2,9,12040,0
1,25,32,5,3,2,9,8600,0
1,25,24,10,2,0,11,0,1
1,25,24,10,2,0,11,0,1
2,20,67,3,7,4,18,0,1
3,16,76,6,4,3,17,12900,1
3,21,51,5,3,2,0,7740,0
3,27,54,5,2,2,0,4300,0
3,21,47,5,3,2,5,7310,0
4,7,53,10,1,0,0,667,1
4,15,48,5,7,2,9,0,1
4,16,41,5,2,2,9,4300,0
4,18,83,10,2,0,2,3333,1
4,24,64,6,1,0,6,208,1
4,25,39,5,2,2,17,0,0
1,9,63,1,7,3,16,0,1
1,9,40,1,4,4,16,10000,1
1,15,55,1,2,3,12,5160,0
3,15,21,5,4,2,6,12900,0
1,15,40,1,4,3,11,10000,1
1,14,51,5,3,2,1,8600,0
1,14,45,6,3,3,9,6450,1
1,19,59,6,4,3,17,0,1
3,21,48,5,3,3,6,0,1
3,16,30,3,7,3,9,0,1
1,10,37,5,3,2,9,8600,0
1,22,36,6,4,2,16,10750,1
1,13,21,5,3,4,14,6500,1
3,2,39,1,7,3,16,0,1
3,2,39,1,7,3,16,0,1
1,11,49,6,3,2,9,7740,0
3,17,31,5,5,2,12,20000,0
1,26,39,3,2,3,12,6000,1
2,13,30,6,3,3,16,8600,0
2,27,59,10,1,0,12,3000,1
3,7,46,5,4,3,9,10000,1
3,12,41,10,1,0,0,167,1
3,14,35,6,1,3,8,3000,1
3,14,35,6,1,3,8,3000,1
3,15,49,6,2,3,6,0,0
3,16,47,8,2,3,6,6000,0
3,16,52,6,1,2,8,1720,0
4,13,54,5,2,2,6,5160,0
4,14,72,10,1,0,3,0,1
4,20,47,10,1,0,6,2917,1
4,30,56,10,2,0,11,4167,1
2,9,65,10,7,0,6,0,1
1,9,64,5,4,3,6,0,1
1,15,54,4,3,4,9,0,1
2,14,50,5,4,2,9,12900,0
1,19,55,6,2,2,14,5160,0
1,19,63,6,4,2,12,12000,1
1,11,45,5,7,4,16,0,1
1,11,82,5,2,3,1,3440,0
1,10,31,6,2,3,17,3440,0
2,31,43,5,2,2,5,3870,0
1,8,56,5,7,2,6,0,0
1,28,47,5,7,0,12,0,1
2,15,37,3,5,3,9,0,1
1,2,59,6,2,3,9,8600,1
1,2,45,3,4,4,17,20000,1
1,2,41,4,7,3,17,0,1
1,25,49,5,4,2,9,10750,0
1,23,25,8,1,3,12,0,1
1,23,43,8,2,2,11,5000,0
1,28,30,8,2,3,12,10320,0
2,21,37,6,3,3,9,6880,1
2,26,27,3,2,3,10,7310,1
2,26,27,3,2,3,10,7310,1
2,15,34,5,2,2,6,0,0
2,15,34,5,2,2,6,0,0
2,18,41,6,7,3,12,0,1
2,21,47,5,2,3,12,0,1
3,2,24,6,7,2,12,0,0
3,2,36,8,1,2,12,4300,0
3,19,53,8,5,3,11,51600,1
3,31,67,10,1,0,11,1334,1
3,21,79,10,6,0,6,0,1
3,21,79,10,6,0,6,0,1
4,5,47,10,2,0,9,4167,1
4,11,37,5,7,2,9,0,0
4,12,74,10,6,0,9,0,1
4,12,52,10,7,0,6,0,1
4,14,50,6,7,2,9,0,0
4,20,53,5,4,2,4,10750,0
4,20,53,5,4,2,4,10750,0
4,21,81,10,2,0,3,0,1
4,30,55,10,7,0,0,0,1
4,30,47,10,5,0,9,21500,1
1,9,50,8,7,3,12,0,1
1,15,30,5,2,2,9,6020,0
1,15,46,5,4,3,6,15000,1
1,19,56,1,3,2,17,0,0
1,21,38,5,7,3,14,0,0
1,8,70,1,4,3,19,0,1
1,23,50,1,4,3,12,15000,1
3,13,38,5,4,2,9,10750,0
1,14,70,8,7,3,9,0,1
1,14,33,1,4,3,16,12900,1
2,6,78,5,3,3,12,8600,1
2,14,48,6,3,3,6,7000,1
2,19,48,10,1,0,9,2333,1
2,24,55,5,7,2,6,0,0
2,7,50,6,2,2,0,6000,0
2,13,48,3,7,3,16,0,1
2,27,61,6,3,3,1,6450,0
2,28,58,7,5,2,9,39000,0
2,30,27,5,3,2,9,7310,0
3,12,78,5,1,2,0,1290,0
3,20,37,10,1,0,12,1290,1
4,7,39,10,1,0,9,600,1
4,16,39,8,2,3,9,4300,0
4,16,45,5,2,2,9,4300,0
4,21,49,10,2,0,6,0,1
4,29,50,8,3,3,12,8170,0
1,9,48,6,7,3,16,0,1
1,9,60,5,2,3,10,4300,0
1,9,60,5,2,3,10,4300,0
1,15,45,5,1,3,9,3000,1
1,15,51,8,1,3,16,0,0
1,15,45,3,7,4,16,0,1
1,14,62,5,7,3,12,0,1
1,21,30,1,3,2,17,0,0
1,16,52,5,4,3,0,12000,0
1,7,31,1,1,3,12,860,1
1,25,32,1,4,3,20,14000,1
1,10,46,6,7,3,17,0,1
2,3,39,5,3,2,4,8600,0
2,16,49,10,2,0,6,3333,1
2,18,39,10,1,0,12,0,1
2,31,35,5,3,2,9,8600,0
2,32,57,5,4,2,3,10320,0
3,4,52,3,4,3,16,10000,1
3,7,39,5,2,3,6,3440,0
3,32,41,8,4,3,6,12900,1
3,7,64,10,1,2,6,2917,1
3,14,39,5,3,2,3,8170,0
3,24,42,5,2,2,9,4300,0
4,2,33,5,3,2,6,11180,0
4,7,47,8,1,2,6,860,0
4,10,57,10,1,0,6,1667,1
4,16,52,8,1,3,12,2580,0
4,24,71,10,6,0,6,0,1
1,9,62,3,7,3,17,0,1
1,9,48,5,7,2,9,0,0
1,9,46,1,2,2,12,0,1
1,15,47,6,7,2,16,0,1
2,19,34,5,7,3,11,0,1
1,24,42,3,7,6,17,0,1
1,31,55,3,5,4,17,0,1
1,22,43,3,7,3,18,0,1
2,22,42,3,4,3,16,0,1
4,29,48,6,1,2,9,1500,0
1,23,61,1,5,3,16,40000,1
1,25,53,8,7,2,17,0,0
1,28,30,1,1,3,15,4300,1
1,28,30,1,1,3,15,4300,1
1,30,98,6,7,4,6,0,1
2,14,38,5,3,3,7,0,0
2,20,51,5,4,2,9,10750,1
2,21,56,5,3,2,9,8600,0
2,2,36,6,2,2,9,6450,1
2,14,58,3,3,3,9,0,0
3,7,47,10,1,0,5,833,1
3,13,66,10,7,0,13,0,1
3,14,63,8,2,3,2,5160,0
3,24,68,7,4,2,9,15000,0
3,7,32,6,2,3,12,4167,1
3,12,52,8,1,3,9,2150,0
3,21,37,10,3,0,9,0,1
3,29,36,5,2,3,9,5160,1
4,7,79,10,6,0,0,0,1
4,12,52,5,2,2,9,5590,0
4,16,51,5,4,3,12,12900,1
4,16,51,5,4,3,12,12900,1
4,16,27,10,2,0,6,4167,1
4,21,45,5,3,2,9,6450,0
4,28,59,5,2,2,6,3870,0
4,28,72,10,7,0,8,0,1
4,32,76,10,3,0,2,8333,1
1,9,58,5,4,2,6,10750,0
1,9,58,5,4,2,6,10750,0
1,9,26,6,7,3,16,0,1
1,9,63,5,2,2,6,3225,0
1,15,38,6,1,3,15,0,1
1,15,38,6,1,3,15,0,1
1,19,62,3,5,5,17,1.00E+05,1
1,19,61,6,4,3,16,15000,0
1,5,59,5,4,2,17,0,0
2,10,45,6,4,4,9,12900,1
1,24,43,6,4,3,12,15000,1
1,8,34,3,2,4,12,0,1
1,26,39,3,7,5,17,0,1
1,17,69,6,7,3,6,0,1
1,3,74,9,2,3,17,6000,1
1,12,56,5,3,2,8,7740,0
1,12,40,8,2,3,6,5160,0
1,14,68,3,5,4,12,20000,1
1,26,57,5,3,2,12,7740,0
2,30,52,6,2,3,6,0,1
2,11,50,8,7,3,12,0,1
2,14,38,5,2,2,6,4300,0
2,7,46,5,1,3,16,3010,0
2,10,42,5,2,2,3,5160,0
2,14,49,5,2,3,9,0,1
3,14,41,6,3,3,12,6450,1
4,7,79,10,1,0,2,1917,1
4,12,40,5,3,2,4,7740,0
4,14,34,10,1,0,6,0,1
4,30,53,10,1,0,0,250,1
2,9,61,10,4,0,6,0,1
2,15,67,3,5,3,12,18000,1
2,15,67,3,5,3,12,18000,1
1,15,83,8,1,3,12,0,0
1,15,32,3,7,2,9,0,1
1,15,47,6,1,2,5,0,0
1,15,47,6,1,2,5,0,0
1,15,36,5,3,2,16,8000,0
1,15,58,6,3,4,17,0,1
1,14,31,1,3,2,12,0,1
1,14,47,5,3,2,6,8600,0
1,19,31,5,4,3,9,15050,0
1,19,75,6,7,3,99,0,1
1,19,39,3,5,4,17,37000,1
1,5,52,3,5,3,16,50000,1
1,10,44,3,5,3,9,21500,1
3,30,41,3,7,3,16,0,1
1,30,60,6,2,2,9,5160,1
2,15,27,6,2,3,17,0,1
1,7,45,7,4,3,9,12900,1
1,8,57,3,7,4,12,0,1
1,25,36,5,4,3,9,15050,1
