t_loc,ent,sex,eda,n_hij,e_con,salario,c_ocu11c,ing7c,dur9c,ambito2,anios_esc,hrsocup,ingocup,tcco,scian,mh_col
2,32,1,70,0,4,3080,10,7,4,0,0,28,0,0,1,1
3,14,2,23,1,1,3080,8,2,3,3,9,24,4300,0,18,0
3,14,2,34,3,5,3080,6,3,4,3,6,28,0,0,7,1
3,15,1,33,0,1,3080,8,2,4,3,16,30,3870,0,18,1
3,15,1,46,0,5,3080,6,4,6,3,9,48,0,0,7,1
3,15,1,46,0,5,3080,6,4,6,3,9,48,0,0,7,1
3,16,1,80,0,5,3080,10,1,6,0,6,48,2500,2,1,1
3,21,1,45,0,6,3080,6,2,7,3,12,50,0,3,7,1
3,21,1,59,0,5,3080,10,1,8,0,6,57,0,2,1,1
3,30,1,43,0,1,3080,3,7,8,3,6,60,0,0,5,1
3,32,2,38,2,5,3080,8,2,6,3,12,42,4300,0,19,0
3,7,2,65,4,5,3080,6,1,2,2,6,4,1376,0,7,0
3,15,1,38,0,5,3080,3,7,7,3,9,53,0,0,5,1
3,27,1,74,0,5,3080,10,1,6,0,0,47,2000,2,1,1
3,29,1,51,0,5,3080,6,3,7,2,9,56,8600,0,6,0
4,1,1,39,0,5,3080,5,7,6,3,9,48,0,0,5,0
4,2,2,39,2,5,5302,1,7,3,2,16,16,0,0,19,0
4,2,1,40,0,5,5302,6,2,8,2,9,63,9460,3,7,0
4,11,1,58,0,5,3080,5,7,7,3,6,54,0,0,5,1
4,12,1,66,0,5,3080,3,3,6,3,6,48,7740,0,5,0
4,12,1,53,0,1,3080,10,6,3,0,2,24,0,0,1,1
4,12,1,30,0,1,3080,10,6,6,0,12,48,0,0,1,1
4,13,1,31,0,1,3080,5,2,8,3,12,70,0,3,19,0
4,14,1,45,0,5,3080,10,7,6,0,6,48,0,0,1,1
4,14,2,34,0,5,3080,3,4,6,3,16,40,0,0,5,1
4,15,1,40,0,5,3080,10,2,6,0,12,40,3121,0,1,1
4,15,1,46,0,5,3080,5,3,6,2,1,46,6450,0,4,0
4,16,1,49,0,5,3080,10,2,6,0,2,48,4167,0,1,1
4,20,1,38,0,5,3080,5,4,8,2,12,77,12900,0,5,0
4,20,2,45,2,2,3080,8,2,1,3,8,0,3440,0,18,0
4,20,1,57,0,5,3080,5,2,4,3,9,27,5160,0,5,0
4,25,1,35,0,5,3080,6,7,4,2,9,32,0,0,7,0
4,27,1,62,0,5,3080,5,2,8,3,6,84,4300,3,5,1
4,28,1,38,0,1,5302,5,1,6,2,12,40,5160,2,4,0
4,28,1,24,0,1,3080,10,2,3,0,0,17,5000,0,1,1
4,28,1,40,0,5,3080,10,1,4,2,12,30,2150,0,5,1
4,30,1,77,0,4,3080,10,1,4,0,3,28,0,0,1,1
4,30,1,77,0,4,3080,10,1,4,0,3,28,0,0,1,1
1,9,1,50,0,5,3080,6,4,8,3,14,70,12900,0,7,0
1,9,1,43,0,1,3080,5,4,8,4,16,84,0,0,18,1
1,9,2,48,3,5,3080,5,2,4,4,17,27,0,0,18,0
1,15,1,62,0,4,3080,3,5,7,4,16,50,20000,0,18,1
1,15,1,40,0,5,3080,5,4,4,0,6,25,10000,0,1,1
1,15,2,53,4,5,3080,8,1,2,2,9,3,1290,0,11,0
1,15,1,59,0,2,3080,5,7,8,2,9,98,0,0,7,0
1,14,1,33,0,1,3080,5,4,8,2,6,60,10320,0,4,0
1,19,2,61,2,5,3080,8,3,6,3,6,42,6450,0,18,0
