"ent","sex","eda5c","e_con","niv_ins","t_loc","rama","ing7c","mh_col","eda"
"16",1,2,5,3,1,1,4,6,"42"
"16",1,2,5,3,1,1,4,6,"42"
"21",2,2,5,3,1,3,4,5,"43"
"21",2,2,5,3,1,3,4,5,"43"
"21",1,2,5,3,1,2,7,5,"42"
"23",1,3,5,2,1,4,5,6,"45"
"23",1,3,3,4,1,4,4,6,"51"
"25",1,3,5,4,1,4,5,5,"59"
"25",1,3,5,3,1,1,3,5,"50"
"26",1,3,5,4,1,6,7,6,"54"
"28",1,2,1,4,1,2,2,6,"31"
"28",1,2,1,4,1,2,2,6,"31"
"28",1,2,1,4,1,2,2,6,"31"
"28",1,3,1,3,1,3,7,5,"46"
"30",1,2,5,4,1,3,7,6,"31"
"30",1,3,1,2,1,1,2,5,"57"
"02",1,3,5,1,2,4,7,6,"59"
"03",1,3,1,2,2,4,2,5,"62"
"11",1,3,2,4,2,1,5,6,"56"
"11",1,3,2,4,2,1,5,6,"56"
"11",1,2,5,2,2,2,7,6,"43"
"16",2,2,5,4,2,4,3,6,"33"
"16",2,2,5,4,2,4,3,6,"33"
"16",2,3,2,1,2,4,2,5,"54"
"20",1,3,5,4,2,4,7,6,"52"
"20",1,3,5,4,2,4,5,6,"60"
"21",1,3,5,4,2,4,7,6,"53"
"21",1,3,5,4,2,4,7,6,"53"
"21",1,2,5,2,2,1,3,5,"33"
"21",1,2,6,1,2,1,3,5,"39"
"23",2,2,5,4,2,4,3,6,"29"
"03",1,2,1,3,2,2,7,6,"36"
"05",1,3,5,2,2,4,3,5,"54"
"07",1,3,3,4,2,3,2,5,"46"
"08",1,2,5,3,2,2,3,5,"42"
"13",1,3,5,3,2,3,1,5,"55"
"14",1,2,2,3,2,4,4,5,"42"
"16",1,3,5,3,2,6,2,6,"59"
"16",1,3,5,3,2,6,2,6,"59"
"16",2,3,5,3,2,4,1,5,"49"
"21",1,3,5,3,2,6,2,6,"56"
"27",1,2,6,4,2,4,7,6,"29"
"27",1,2,6,4,2,4,7,6,"29"
"30",1,3,5,4,2,4,4,6,"55"
"30",1,3,3,3,2,6,7,6,"47"
"30",1,3,1,2,2,2,7,6,"50"
"30",2,2,1,3,2,4,2,5,"38"
"31",1,4,5,4,2,3,7,6,"68"
"08",1,2,5,3,3,4,5,5,"38"
"11",1,3,5,1,3,6,5,6,"52"
"12",2,2,5,1,3,6,6,6,"42"
"14",1,3,5,3,3,4,3,5,"46"
"14",1,3,1,3,3,1,1,5,"57"
"14",1,3,1,3,3,1,1,5,"57"
"15",1,2,5,4,3,4,3,5,"34"
"15",1,2,5,3,3,6,3,6,"44"
"15",1,3,1,2,3,4,3,5,"53"
"15",1,3,5,3,3,3,4,6,"46"
"16",1,3,5,2,3,4,5,6,"62"
"20",1,3,5,1,3,1,2,5,"49"
"20",1,4,5,1,3,6,1,6,"76"
"21",1,3,5,2,3,6,4,6,"56"
"21",1,3,5,2,3,6,4,6,"56"
"25",2,3,1,4,3,4,3,5,"60"
"26",1,3,6,2,3,6,1,6,"45"
"28",1,2,5,3,3,6,7,6,"40"
"30",2,3,5,1,3,4,2,6,"63"
"32",2,2,5,4,3,4,2,5,"38"
"32",1,3,5,3,3,4,5,6,"47"
"15",1,2,5,3,3,2,7,6,"38"
"16",1,3,1,1,3,6,3,6,"58"
"16",1,3,5,2,3,6,2,6,"53"
"18",2,2,5,2,3,4,1,5,"44"
"18",2,2,5,2,3,4,1,5,"44"
"24",2,3,5,2,3,4,1,5,"57"
"27",1,4,5,1,3,6,1,6,"74"
"02",1,4,1,4,4,4,3,6,"67"
"07",1,2,5,2,4,1,2,5,"42"
"11",1,3,5,2,4,1,2,5,"53"
"11",1,3,5,2,4,6,7,6,"55"
"11",1,3,5,2,4,2,7,6,"58"
"12",2,3,4,2,4,6,6,6,"52"
"12",1,4,5,2,4,2,3,5,"66"
"12",1,2,5,3,4,6,1,6,"41"
"13",2,2,1,4,4,4,2,6,"30"
"13",2,3,2,3,4,4,1,5,"52"
"14",1,2,5,4,4,4,7,6,"37"
"14",1,3,5,2,4,6,7,6,"45"
"14",1,3,5,2,4,6,1,6,"45"
"14",1,3,5,2,4,6,1,6,"45"
"15",1,3,5,2,4,3,7,6,"47"
"15",1,3,5,2,4,3,7,6,"47"
"15",1,3,5,1,4,6,6,6,"61"
"15",1,2,5,1,4,6,7,6,"43"
"15",1,2,5,3,4,2,2,5,"38"
"15",1,2,5,3,4,2,2,5,"38"
"15",1,3,5,2,4,1,7,5,"54"
"16",1,2,1,2,4,6,2,6,"35"
"16",1,2,1,3,4,3,3,6,"29"
"16",1,1,1,1,4,1,3,5,"23"
"17",1,2,5,4,4,6,7,6,"30"
"18",1,4,5,4,4,6,2,6,"79"
"19",2,3,5,3,4,4,5,6,"48"
"19",2,3,5,3,4,4,5,6,"48"
"19",1,2,5,4,4,3,4,5,"37"
"20",1,2,1,1,4,6,1,6,"43"
"20",1,2,1,1,4,6,1,6,"43"
"20",1,4,5,1,4,2,1,5,"70"
"20",1,3,5,3,4,2,2,5,"57"
"21",1,3,6,2,4,6,1,6,"49"
"21",1,3,5,1,4,6,1,6,"58"
"21",1,3,5,1,4,6,2,6,"54"
"21",1,3,5,1,4,6,2,6,"54"
"24",1,3,5,2,4,6,7,6,"56"
"25",1,4,6,3,4,6,1,6,"71"
"25",1,4,5,1,4,6,7,6,"72"
"27",1,3,5,3,4,2,2,5,"54"
"27",2,3,2,2,4,4,1,5,"47"
"28",1,2,1,4,4,1,1,5,"38"
"28",1,2,1,4,4,1,1,5,"38"
"28",1,2,5,4,4,2,1,6,"40"
"30",1,3,5,3,4,1,1,5,"49"
"31",1,3,5,2,4,6,4,6,"55"
"32",1,2,5,3,4,1,2,5,"32"
"32",1,2,5,2,4,1,2,5,"41"
"09",2,2,5,3,1,4,2,5,"44"
"09",1,3,6,3,1,2,3,6,"52"
"09",1,3,6,3,1,2,3,6,"52"
"09",2,2,1,3,1,4,4,6,"36"
"09",2,2,1,3,1,4,4,6,"36"
"09",1,3,5,4,1,3,4,5,"50"
"09",1,2,1,4,1,3,3,6,"29"
"15",1,3,4,4,1,4,5,6,"62"
"15",1,3,5,4,1,3,5,6,"49"
"15",1,3,5,4,1,3,5,6,"49"
"15",2,2,6,4,1,3,4,6,"37"
"15",2,2,6,4,1,3,4,6,"37"
"15",2,2,6,4,1,3,4,6,"37"
"15",1,2,5,2,1,6,4,6,"40"
"15",2,3,5,3,1,4,1,5,"53"
"15",1,3,2,3,1,3,7,5,"59"
"14",1,3,5,4,1,4,3,6,"47"
"14",1,2,5,4,1,4,4,6,"42"
"14",1,2,1,2,1,1,4,5,"33"
"14",2,1,6,4,1,4,4,6,"24"
"19",1,2,6,4,1,4,7,6,"27"
"21",1,2,5,3,3,4,4,6,"41"
"21",2,1,5,3,1,4,7,5,"23"
"11",1,2,5,1,2,4,3,6,"35"
"05",1,4,5,4,1,3,2,6,"65"
"10",1,3,5,3,1,2,3,6,"46"
"31",1,1,6,4,1,1,4,5,"23"
"08",1,3,5,4,1,4,3,6,"56"
"08",1,3,6,4,1,1,5,6,"47"
"08",1,2,5,3,1,1,5,6,"37"
"28",1,2,5,4,1,3,5,6,"40"
"28",2,4,5,4,1,3,7,6,"66"
"01",2,3,5,2,1,3,4,6,"54"
"15",1,3,5,4,2,2,3,6,"54"
"15",1,2,1,3,1,3,5,6,"26"
"15",1,4,5,4,2,3,2,6,"74"
"05",1,3,6,2,1,3,7,5,"51"
"07",2,3,2,4,1,2,4,6,"51"
"08",1,2,3,4,1,4,4,5,"35"
"08",2,2,6,3,1,4,1,5,"29"
"08",1,2,5,4,1,2,3,6,"34"
"25",2,2,1,4,1,4,7,5,"27"
"18",2,2,6,3,1,4,4,6,"32"
"17",1,3,1,3,1,1,3,5,"49"
"17",2,3,2,3,2,4,7,6,"59"
"20",2,3,5,4,2,4,3,5,"54"
"22",1,3,5,4,1,1,7,6,"54"
"22",1,2,5,4,2,4,7,6,"43"
"13",2,3,5,3,1,4,7,5,"47"
"13",2,3,5,3,1,4,7,5,"47"
"02",1,2,1,3,1,1,2,5,"35"
"12",1,4,1,3,1,3,5,5,"66"
"16",1,3,5,1,1,2,3,5,"48"
"16",1,2,5,4,1,6,5,6,"40"
"25",1,3,1,4,1,6,5,6,"63"
"26",1,3,1,4,1,2,7,6,"48"
"28",1,2,2,4,1,4,3,6,"42"
"06",1,4,5,3,2,4,2,6,"70"
"06",1,3,5,4,2,3,7,6,"50"
"07",2,2,2,1,2,3,2,5,"34"
"14",1,3,1,2,2,3,2,5,"45"
"14",1,3,1,2,2,3,2,5,"45"
"14",2,2,6,4,2,3,2,6,"39"
"14",2,2,6,4,2,3,2,6,"39"
"14",2,2,6,4,2,3,2,6,"39"
"01",1,2,1,2,2,2,7,5,"36"
"07",1,2,1,4,2,1,3,5,"30"
"11",1,2,5,3,2,2,3,6,"43"
"18",2,3,2,2,2,4,2,5,"58"
"20",2,2,1,4,2,4,3,6,"36"
"20",2,2,1,4,2,4,3,6,"36"
"20",1,3,5,2,2,3,3,5,"55"
"20",1,3,5,2,2,3,3,5,"55"
"27",2,3,4,4,2,4,3,6,"57"
"31",1,2,6,3,2,1,2,5,"26"
"07",1,3,5,3,3,1,3,5,"49"
"08",1,3,6,4,3,3,3,6,"56"
"12",1,3,5,2,3,4,4,5,"55"
"14",2,3,5,3,3,4,3,6,"63"
"16",1,2,5,2,3,1,4,5,"35"
"16",1,3,5,3,3,2,4,6,"49"
"16",1,3,5,3,3,2,4,6,"49"
"17",2,2,5,3,3,4,7,5,"43"
"18",1,3,5,4,3,3,7,6,"51"
"32",2,3,5,2,3,4,3,6,"51"
"07",1,3,5,2,3,6,1,6,"58"
"07",1,3,5,2,3,6,1,6,"58"
