"ent","sex","eda5c","e_con","niv_ins","t_loc","rama","ing7c","mh_col"
"21",1,3,5,3,2,6,2,6
"21",1,2,1,4,2,4,3,5
"23",1,4,5,2,2,4,7,6
"25",2,2,5,4,2,4,4,5
"27",1,3,5,4,2,4,1,6
"30",1,3,3,3,2,6,7,6
"30",1,3,3,3,2,6,7,6
"30",2,2,1,3,2,4,2,5
"31",1,2,5,3,2,4,5,6
"32",1,4,5,4,2,6,2,6
"32",1,1,6,3,2,6,7,6
"08",1,2,5,3,3,4,5,5
"14",1,3,5,3,3,4,3,5
"14",1,3,5,3,3,4,3,5
"14",2,2,5,2,3,3,3,6
"15",1,3,5,2,3,3,4,6
"15",1,3,5,2,3,3,4,6
"15",1,2,1,4,3,4,2,6
"15",1,2,1,4,3,4,2,6
"20",1,3,5,1,3,1,2,5
"20",1,3,6,3,3,2,3,5
"21",1,2,5,3,3,4,3,5
"22",2,2,1,1,3,4,2,5
"25",2,3,1,4,3,4,3,5
"25",2,3,1,4,3,4,3,5
"25",2,3,1,4,3,4,3,5
"30",1,2,1,2,3,2,7,6
"32",2,2,5,4,3,4,2,5
"32",1,3,5,3,3,4,5,6
"13",1,2,1,3,3,1,7,5
"13",1,2,1,3,3,1,7,5
"15",1,2,5,3,3,2,7,6
"15",1,2,5,3,3,2,7,6
"16",1,3,1,1,3,6,3,6
"17",1,2,1,4,3,1,3,5
"18",2,2,5,2,3,4,1,5
"20",1,3,5,5,3,4,7,5
"21",1,3,5,2,3,1,3,5
"21",1,3,5,2,3,1,3,5
"22",2,4,4,1,3,6,6,6
"24",2,3,5,2,3,4,1,5
"25",2,3,5,4,3,4,7,6
"27",2,3,5,3,3,3,4,5
"02",1,3,5,3,4,3,3,6
"02",1,4,1,4,4,4,3,6
"06",2,3,2,3,4,4,3,5
"07",1,2,5,2,4,1,2,5
"11",1,4,5,1,4,6,3,6
"11",1,3,5,2,4,1,2,5
"11",1,3,5,2,4,6,7,6
"11",1,3,5,2,4,2,7,6
"12",1,3,5,3,4,2,2,5
"12",1,4,5,1,4,6,6,6
"12",1,4,5,1,4,6,6,6
"14",1,3,5,2,4,6,7,6
"14",1,3,5,2,4,6,7,6
"15",1,2,5,3,4,2,2,5
"16",1,2,1,2,4,6,2,6
"16",1,2,5,1,4,1,3,5
"16",1,1,1,1,4,1,3,5
"16",1,1,1,1,4,1,3,5
"20",1,3,1,4,4,2,3,5
"20",1,2,1,1,4,6,1,6
"20",1,3,5,1,4,6,1,6
"21",1,3,6,2,4,6,1,6
"21",1,3,5,1,4,6,1,6
"21",1,3,5,1,4,6,1,6
"21",1,2,1,3,4,6,1,6
"21",1,2,1,3,4,6,1,6
"21",2,3,6,2,4,4,2,5
"22",1,3,5,4,4,4,7,6
"25",1,4,5,1,4,6,7,6
"27",1,2,5,3,4,1,3,5
"27",1,3,5,3,4,2,2,5
"28",1,2,1,4,4,1,1,5
"30",1,4,5,1,4,6,1,6
"30",1,4,5,1,4,6,1,6
"30",1,1,1,3,4,6,1,6
"30",1,1,1,3,4,6,1,6
"30",1,2,5,3,4,6,7,6
"30",1,3,5,3,4,6,1,6
"30",1,3,5,4,4,4,7,6
"30",1,3,5,3,4,1,1,5
"09",1,3,5,3,1,4,2,5
"09",2,2,1,3,1,4,4,6
"09",2,2,1,3,1,4,4,6
"09",1,2,6,4,1,4,3,5
"09",1,2,1,4,1,3,3,6
"09",1,2,6,4,1,2,5,5
"15",1,3,4,4,1,4,5,6
"15",1,3,4,4,1,4,5,6
"15",1,3,4,4,1,4,5,6
"15",1,3,4,4,1,4,5,6
"15",1,3,5,4,1,3,5,6
"15",1,3,5,4,1,3,5,6
"15",2,2,6,4,1,3,4,6
"15",2,2,6,4,1,3,4,6
"15",2,2,6,4,1,3,4,6
"15",2,3,5,3,1,4,1,5
"15",2,3,5,3,1,4,1,5
"15",1,3,2,3,1,3,7,5
"15",1,3,2,3,1,3,7,5
"14",1,3,5,4,1,4,3,6
"14",1,3,1,3,1,2,7,6
"14",2,1,6,4,1,4,4,6
"14",1,2,6,3,1,1,3,5
"14",1,3,5,3,1,3,4,6
"19",2,3,4,4,1,4,7,6
"19",1,2,5,3,1,4,3,5
"21",1,3,5,4,1,4,5,6
