"ent","sex","eda5c","e_con","niv_ins","t_loc","rama","ing7c","mh_col"
"11",1,3,5,4,2,4,7,6
"13",1,2,1,3,2,4,3,5
"13",1,2,5,2,2,1,2,5
"14",1,4,5,2,2,1,3,5
"14",1,3,5,2,2,1,2,5
"14",1,3,5,4,2,6,3,6
"31",1,3,1,1,2,6,1,6
"04",1,4,5,1,3,2,4,6
"13",1,3,1,1,3,6,2,6
"17",1,3,5,3,3,2,7,5
"20",1,2,1,3,3,1,3,5
"21",1,4,1,2,3,3,3,5
"21",1,4,1,2,3,3,3,5
"30",1,2,6,4,3,4,4,6
"07",1,2,5,3,4,6,1,6
"10",2,1,1,4,4,4,1,5
"16",1,3,5,4,4,2,3,6
"21",1,3,1,2,4,6,2,6
"22",2,4,5,1,4,4,2,6
"27",1,2,1,4,4,3,3,5
"29",2,3,5,4,4,4,3,5
"30",1,2,1,3,4,6,6,6
"30",1,3,5,2,4,1,2,5
"30",1,3,5,3,4,6,3,6
"09",1,3,3,4,1,3,7,6
"09",1,2,1,2,1,4,4,5
"09",1,2,1,2,1,4,4,5
"09",1,2,1,3,1,4,2,5
"09",1,2,5,4,2,4,4,5
"09",1,2,5,4,2,4,4,5
"15",2,3,6,3,1,2,1,6
"15",1,2,5,3,1,2,3,6
"15",1,3,5,2,1,3,3,6
"15",1,2,6,4,1,4,5,5
"14",1,2,6,4,1,4,5,6
"14",1,3,2,1,1,1,4,5
"14",1,3,5,3,1,2,7,6
"14",1,2,1,1,1,1,5,5
"14",1,3,5,3,1,4,4,6
"14",1,3,5,3,1,4,4,6
"14",2,3,5,4,1,1,4,6
"14",1,2,5,4,1,3,5,6
"14",1,2,5,4,1,3,5,6
"19",1,2,1,3,1,4,3,5
"19",1,4,5,4,1,4,7,6
"21",2,2,6,4,1,4,7,6
"21",1,2,6,4,1,4,3,5
"31",2,2,5,4,1,3,7,6
"08",2,3,5,4,1,5,7,6
"28",1,2,1,4,1,1,4,5
"30",1,2,1,3,1,1,2,5
"15",1,3,4,4,1,4,4,6
"25",1,3,2,3,1,4,4,5
"26",1,3,5,2,1,1,4,5
"26",1,3,5,3,1,3,5,5
"10",1,3,5,1,1,2,4,5
"18",1,3,5,3,1,2,1,5
"32",1,2,6,4,1,4,7,6
"06",1,3,5,3,1,6,7,6
"29",1,3,5,3,3,3,4,5
"29",1,3,5,3,3,3,4,5
"29",1,3,5,3,3,3,4,5
"03",1,3,1,4,1,3,4,6
"23",1,3,5,4,1,4,1,6
"02",1,3,5,4,1,2,7,6
"02",1,3,5,4,1,4,7,6
"05",1,3,5,4,1,1,4,5
"05",1,2,5,2,3,4,2,5
"05",1,2,5,2,3,4,2,5
"12",1,4,5,4,1,1,5,6
"23",1,3,4,4,1,3,4,6
"25",1,1,6,4,1,1,4,5
"26",1,2,5,3,1,1,2,5
"26",1,3,5,2,1,1,7,6
"02",1,2,5,2,2,1,7,5
"16",1,1,6,4,2,4,2,5
"16",1,2,5,3,2,4,7,6
"21",1,3,5,4,2,4,5,6
"21",1,3,5,4,2,4,5,6
"25",1,2,5,1,2,4,2,5
"30",2,3,6,4,2,4,4,6
"14",1,3,5,3,2,2,4,6
"16",2,3,5,2,2,6,2,6
"18",1,2,5,4,2,6,1,6
"24",1,3,4,3,2,3,1,6
"24",1,3,4,3,2,3,1,6
"25",1,3,5,3,2,3,3,6
"04",2,3,5,4,3,3,4,6
"16",1,3,5,3,3,6,2,6
"19",1,2,5,3,3,1,1,6
"32",1,2,5,2,3,4,4,6
"15",1,4,5,1,3,4,3,6
"21",1,3,1,2,3,4,4,5
"21",1,3,1,2,3,1,3,5
"25",1,2,5,4,3,3,2,5
"27",1,2,1,4,3,1,5,6
"12",1,4,1,1,4,6,1,6
"12",2,3,2,1,4,6,6,6
"16",2,3,4,4,4,4,1,5
"16",1,2,1,3,4,6,7,6
"16",1,3,5,4,4,4,4,6
"20",1,3,5,3,4,1,4,5
"22",1,2,5,3,4,1,3,6
"28",1,4,5,1,4,6,3,6
"30",1,2,1,4,4,6,7,6
"09",1,3,5,4,1,4,5,5
"09",1,2,1,1,1,1,3,5
"09",1,3,5,3,1,3,3,5
"09",1,3,2,4,1,3,7,6
"09",2,3,5,4,1,4,4,6
"09",2,3,5,4,1,4,4,6
"09",2,3,5,4,1,4,4,6
"09",1,3,5,4,1,1,2,6
"15",1,3,6,4,1,2,3,6
"15",1,3,5,4,1,3,7,6
"15",1,2,5,3,1,4,7,5
"15",1,2,5,3,1,4,7,5
"14",2,2,1,1,1,3,2,5
"14",2,2,1,1,1,3,2,5
"19",2,3,5,3,1,3,4,6
"21",1,2,5,3,1,1,7,5
"05",1,2,5,3,1,4,5,6
"24",2,3,1,2,1,4,2,6
"30",1,3,5,3,1,4,4,6
"12",1,2,1,3,1,2,4,5
"01",1,3,5,4,1,2,3,6
"08",1,3,5,4,1,3,2,6
"08",1,2,3,3,1,1,2,5
"02",2,2,2,3,1,3,2,5
"25",1,2,5,4,1,1,4,5
"25",2,2,5,4,1,3,3,5
"29",2,3,5,3,4,3,1,5
"23",1,3,3,4,1,1,5,5
"13",2,2,5,4,1,4,4,5
"08",1,2,1,2,1,3,2,5
"13",1,4,5,2,2,3,3,6
"13",1,4,5,2,2,3,3,6
"13",1,4,5,2,2,3,3,6
"17",1,3,5,4,1,3,7,6
"23",1,3,5,4,1,4,5,6
"23",1,3,5,4,1,4,5,6
"23",1,3,5,4,1,4,5,6
"23",1,3,1,2,1,4,4,5
"25",1,3,5,4,1,1,3,6
"25",1,3,5,4,1,2,5,6
"25",1,3,5,4,1,4,7,5
"28",1,2,5,4,1,4,5,6
"28",1,2,6,4,1,4,1,6
"30",1,5,5,2,1,3,7,6
"30",1,3,5,3,1,4,7,6
"30",1,3,5,3,1,4,7,6
"02",1,3,1,3,2,4,7,6
"12",1,2,6,4,2,4,5,6
"21",1,3,5,3,2,1,3,5
"16",1,3,5,2,2,6,2,6
"16",1,3,5,1,2,1,3,5
"16",1,3,5,1,2,1,3,5
"14",1,3,5,2,3,1,3,5
"14",2,3,5,1,3,4,2,5
"14",2,3,6,4,3,3,2,5
"14",2,3,6,4,3,3,2,5
"16",1,3,5,3,3,2,5,5
"16",1,2,1,3,3,3,3,5
"18",1,2,1,2,3,1,4,5
"19",1,4,1,3,3,6,2,6
"21",2,2,6,2,3,4,2,5
"24",1,2,1,2,3,1,3,5
"29",1,3,6,4,3,6,4,6
"30",1,2,1,4,3,4,7,6
"07",1,3,1,1,3,1,3,5
"13",1,2,1,3,3,3,3,5
"21",2,3,5,1,3,2,3,5
"26",1,2,5,4,3,6,5,6
"10",2,2,5,2,4,4,3,5
"12",1,3,5,1,4,6,1,6
"14",1,3,5,3,4,1,3,5
"16",1,3,5,4,4,2,4,6
"16",2,3,4,2,4,4,3,5
"20",1,4,5,1,4,6,6,6
"20",2,3,4,1,4,6,2,6
"20",1,3,5,3,4,1,2,5
"27",1,2,1,3,4,1,3,5
"27",1,2,1,3,4,1,3,5
"30",1,3,5,2,4,6,7,6
"09",1,3,5,2,1,1,4,5
"09",1,3,5,2,1,4,7,5
"09",1,2,6,4,1,3,3,5
"09",1,2,6,4,1,3,3,5
"09",1,2,6,4,1,3,3,5
"09",1,2,6,4,1,3,3,5
"15",1,3,5,4,1,3,3,6
"15",1,1,6,4,1,3,3,6
"15",2,2,5,4,1,3,1,6
"14",1,2,5,3,1,4,7,6
"14",1,2,5,4,1,4,3,5
"14",1,3,5,2,1,4,7,6
"14",1,2,5,3,1,4,7,5
"14",1,4,5,4,1,4,2,5
"19",1,3,5,4,1,4,5,6
"19",1,2,6,4,1,4,3,5
"21",1,4,4,2,2,6,1,6
"05",1,3,5,4,1,1,4,5
"05",1,2,6,4,1,2,4,6
"10",1,3,5,3,2,3,4,6
"24",2,4,5,2,1,4,2,6
"08",1,3,5,4,1,4,5,6
"30",1,3,5,4,1,4,3,6
"12",1,3,5,3,1,4,2,5
"01",1,2,5,4,1,3,4,6
"16",2,3,2,4,1,3,7,6
"05",1,4,5,4,2,4,7,6
"27",1,2,5,4,1,1,4,5
"08",1,3,2,4,1,2,3,6
"08",1,4,2,2,1,3,5,6
"08",1,3,5,3,1,4,3,6
"02",1,4,5,4,1,3,7,6
"25",1,3,5,2,1,6,3,6
"17",1,3,1,2,1,1,4,5
"17",1,3,1,2,1,1,4,5
"22",1,2,1,4,1,4,7,6
"02",1,2,5,4,1,4,3,6
"05",1,4,5,4,1,4,4,6
"08",1,2,1,3,1,1,3,5
"08",1,2,1,3,1,1,3,5
"11",1,3,5,4,2,4,7,6
"12",2,2,5,2,1,4,2,5
"24",1,3,1,3,1,1,2,5
"26",1,2,5,4,1,2,5,6
"28",1,3,5,3,1,3,1,6
"11",2,3,3,4,2,4,7,6
"21",2,3,5,3,2,3,3,6
"23",1,2,5,4,2,4,2,6
"07",2,2,5,2,2,4,1,6
"07",2,3,5,2,2,3,3,6
"07",1,3,5,4,2,1,5,6
"07",1,4,1,2,2,6,1,6
"10",1,2,5,1,2,1,2,5
"15",1,2,5,4,2,6,2,6
"15",1,2,5,4,2,6,2,6
"20",2,3,5,2,2,2,1,5
"30",1,2,5,3,2,1,3,5
"07",2,3,6,4,3,3,5,6
"14",1,3,5,3,3,1,7,6
"14",2,2,3,4,3,3,3,6
"18",1,2,5,4,3,4,4,6
"27",1,2,2,4,3,4,4,6
"16",2,2,5,3,3,4,1,5
"07",1,2,6,3,4,6,1,6
"07",1,2,1,2,4,6,1,6
"07",1,4,5,1,4,6,1,6
"07",1,4,5,1,4,6,7,6
"08",1,2,5,4,4,6,7,6
"12",1,2,5,4,4,6,1,6
"12",1,2,5,4,4,6,1,6
"14",1,2,5,2,4,6,1,6
"15",2,2,5,2,4,2,2,5
"16",1,4,1,4,4,6,3,6
"16",1,4,1,4,4,6,3,6
"18",1,3,5,4,4,1,3,5
"20",1,2,1,4,4,3,2,6
"21",1,4,5,2,4,6,1,6
"30",1,4,1,1,4,6,4,6
"31",1,3,5,1,4,1,3,5
"31",1,4,5,1,4,6,6,6
"09",1,3,5,3,1,2,2,5
"09",1,3,5,3,1,4,4,5
"09",2,4,5,4,1,2,7,6
"09",2,4,5,4,1,2,7,6
"09",1,3,6,4,1,2,3,6
"09",1,2,5,4,1,3,4,6
"09",1,2,5,4,1,3,4,6
"09",1,2,1,4,1,4,7,6
"09",1,3,1,1,1,2,5,5
"09",1,3,1,1,1,2,5,5
"09",1,3,5,4,1,4,7,6
"09",1,3,5,4,1,4,7,6
"09",1,3,5,4,1,4,7,6
"09",1,3,5,2,2,6,4,6
"09",1,3,5,2,2,6,4,6
"09",2,2,2,2,1,2,7,6
"15",2,4,2,3,2,4,5,6
"15",2,4,2,3,2,4,5,6
"15",2,4,2,3,2,4,5,6
"15",1,3,5,1,1,3,1,5
"15",1,3,5,1,1,3,1,5
"15",1,3,5,4,1,2,2,6
"15",1,2,5,4,1,1,3,5
"15",1,2,5,4,1,1,3,5
"15",2,3,5,4,1,3,3,6
"15",2,3,5,4,1,3,3,6
"15",2,2,2,4,2,4,7,5
"15",1,2,5,4,2,2,4,6
"15",1,3,1,1,1,4,3,5
"14",1,3,1,3,1,2,3,5
"19",1,3,2,3,1,4,7,6
"19",1,4,5,4,1,3,7,6
"19",2,3,5,3,1,4,7,5
"21",1,3,5,4,1,2,5,6
"21",1,3,5,2,1,1,3,5
"11",1,3,5,4,1,4,1,5
"24",1,3,5,4,1,4,1,5
"28",1,4,5,2,1,4,3,5
"30",1,3,5,3,3,2,7,5
"16",2,3,5,1,1,2,2,5
"16",2,3,5,1,1,2,2,5
"16",2,3,3,4,1,3,7,6
"16",1,2,5,4,3,2,7,6
"15",1,3,5,2,1,4,3,5
"15",1,2,1,4,2,3,2,6
"07",2,3,5,4,1,2,4,6
"25",1,3,5,4,1,1,5,6
"26",1,4,5,4,1,3,7,6
"26",1,3,1,4,1,3,3,5
"26",1,3,1,4,1,1,7,5
"26",1,4,5,4,1,4,5,6
"32",1,2,2,4,1,4,7,6
"13",1,4,5,2,1,3,1,6
"02",1,4,5,1,1,3,1,5
"28",1,1,1,2,1,4,2,6
"11",1,2,5,2,3,4,3,5
"11",1,2,5,2,3,4,3,5
"11",1,2,5,2,3,4,3,5
"25",1,2,5,4,1,4,4,5
"25",2,2,1,4,1,4,5,6
"28",1,2,6,2,1,1,4,5
"16",2,2,1,3,2,3,5,5
"16",1,3,5,3,2,6,3,6
"26",1,2,5,4,2,3,7,6
"26",1,3,1,2,2,1,3,5
"26",1,2,1,3,2,1,3,5
"03",1,4,5,2,2,6,5,6
"07",1,3,1,2,2,1,3,5
"15",2,2,5,3,2,2,5,6
"18",1,2,5,3,2,1,3,5
"32",1,4,5,2,2,2,7,5
"06",2,2,1,3,3,3,3,6
"21",1,3,5,2,3,6,1,6
"23",1,3,1,3,3,4,5,6
"27",1,3,5,3,3,1,4,5
"31",1,3,6,4,3,3,2,6
"31",1,3,1,1,3,6,2,6
"07",1,3,5,1,3,6,1,6
"13",1,2,5,3,3,1,2,5
"25",1,3,5,3,3,4,2,5
"26",2,3,5,3,3,2,3,5
"07",1,3,1,1,4,6,2,6
"13",1,2,5,3,4,6,1,6
"13",1,2,5,3,4,6,1,6
"13",1,2,5,3,4,6,1,6
"14",1,3,5,2,4,3,2,6
"14",1,3,5,2,4,3,2,6
"14",1,3,5,2,4,3,2,6
"15",1,2,5,2,4,6,7,6
"15",1,2,5,2,4,6,7,6
"17",1,3,5,4,4,6,7,6
"17",1,2,1,2,4,1,2,5
"18",1,4,1,2,4,6,2,6
"18",1,3,2,3,4,6,2,6
"19",1,3,5,1,4,1,4,5
"20",1,2,6,3,4,6,2,6
"20",1,2,6,3,4,6,2,6
"21",1,1,1,4,4,2,3,5
"24",1,4,5,1,4,6,2,6
"25",1,3,5,4,4,4,7,6
"25",1,2,1,4,4,7,7,6
"27",1,3,5,3,4,6,2,6
"30",1,3,5,3,4,1,2,5
"30",1,4,5,1,4,6,1,6
"30",1,4,5,1,4,6,7,6
"09",2,3,5,3,1,3,3,5
"09",2,3,3,4,1,4,3,6
"09",2,3,3,4,1,4,3,6
"09",1,2,5,4,1,1,4,6
"09",1,3,5,3,1,1,3,5
"09",1,2,1,4,1,3,3,5
"09",1,2,1,4,1,3,3,5
"09",1,2,1,4,1,3,3,5
"09",1,2,5,2,1,4,4,5
"09",2,3,5,3,1,2,2,6
"09",1,3,4,4,1,2,3,5
"15",1,3,5,2,1,4,3,5
"15",1,3,5,2,1,4,3,5
"15",1,3,5,2,1,4,3,5
"15",1,3,5,4,1,3,5,6
"15",1,3,5,4,1,3,5,6
"14",1,2,5,4,2,1,7,6
"14",1,2,5,4,2,1,7,6
"14",1,2,5,4,1,3,5,6
"14",1,2,5,4,1,3,5,6
"14",1,2,1,4,1,4,4,6
"19",1,3,5,3,1,3,3,6
"11",1,2,5,1,1,1,4,5
"11",1,2,5,2,2,2,7,5
"10",1,3,5,3,1,2,2,6
"24",1,4,5,3,1,6,4,6
"28",1,3,5,4,1,1,7,6
"01",1,3,5,3,2,3,4,6
"01",1,3,5,1,1,1,4,5
"16",1,3,5,4,1,4,4,6
"15",1,3,5,4,1,2,7,6
"27",1,4,1,4,1,6,5,6
"07",1,3,5,1,1,1,3,5
"07",1,3,5,3,1,3,3,6
"26",1,2,5,4,1,4,7,6
"10",1,1,6,3,1,1,3,5
"10",1,3,2,4,1,1,3,5
"10",1,2,1,4,1,4,3,6
"18",1,3,1,3,1,1,4,5
"32",1,3,5,4,1,6,5,6
"22",1,3,5,2,2,3,7,6
"02",1,2,6,4,1,3,4,6
"28",1,4,5,4,1,4,7,6
"28",1,3,1,4,1,2,7,6
"13",1,3,2,3,1,2,7,6
"25",1,3,5,3,1,4,5,6
"26",1,2,5,4,1,4,3,6
"26",1,2,5,4,1,4,3,6
"03",1,3,5,3,2,4,4,6
"06",2,2,5,4,2,4,4,6
"06",1,4,4,1,2,6,7,6
"07",1,3,5,2,2,4,2,6
"03",1,1,6,4,2,4,2,6
"07",1,2,5,3,2,1,3,5
"11",1,3,5,3,2,6,7,6
"11",1,3,5,3,2,6,7,6
"11",1,2,5,2,2,2,1,5
"11",1,2,5,2,2,2,1,5
"11",1,1,6,3,2,4,7,5
"13",1,2,5,4,2,2,4,5
"13",1,2,5,4,2,2,4,5
"13",2,3,3,4,2,3,4,6
"14",1,3,5,2,2,6,2,6
"15",1,3,5,3,2,1,3,5
"16",1,2,5,4,2,6,7,6
"26",2,3,4,3,2,3,7,6
"30",2,3,5,4,2,4,7,6
"07",1,2,6,4,3,4,1,5
"13",1,2,5,2,3,3,2,5
"14",1,3,5,2,3,6,2,6
"15",1,1,1,3,3,1,4,5
"15",1,1,1,3,3,1,4,5
"20",1,2,5,4,3,4,1,6
"21",2,3,4,2,3,2,1,5
"27",1,2,5,3,3,2,4,5
"30",1,2,5,4,3,3,3,5
"07",1,2,5,4,3,1,3,5
"12",2,1,1,4,3,4,2,6
"21",1,3,5,2,3,6,3,6
"07",1,3,5,2,4,2,1,6
"10",1,2,5,2,4,1,3,5
"11",1,3,5,1,4,6,2,6
"13",2,2,6,3,4,2,1,5
"14",1,2,5,4,4,2,4,6
"16",1,2,1,4,4,6,7,6
"21",1,3,5,3,4,1,2,5
"25",1,2,1,3,4,2,5,6
"25",1,2,1,1,4,6,3,6
"32",1,4,3,1,4,6,1,6
"09",2,2,5,4,1,3,4,5
"09",1,2,1,4,1,2,7,6
"09",1,3,6,2,1,4,7,5
"09",2,3,5,3,1,4,2,5
"09",1,3,5,4,1,1,2,6
"09",1,4,1,4,1,1,5,6
"09",2,2,6,4,1,2,2,5
"09",2,2,6,4,1,2,2,5
"09",1,3,5,4,1,2,7,5
"09",2,3,5,4,1,4,4,6
"15",1,3,5,4,1,3,4,5
"15",1,2,1,4,2,3,2,6
"15",1,2,6,3,1,1,3,5
"14",1,3,5,4,2,3,7,5
"14",1,3,5,4,1,3,3,6
"14",1,3,1,4,1,4,3,6
"19",1,3,5,4,1,1,5,5
"19",1,3,5,4,1,1,5,5
"19",1,2,5,3,1,4,4,5
"21",2,3,6,3,1,4,2,6
"21",1,2,6,4,1,4,5,6
"21",2,3,2,4,1,3,7,6
"21",1,3,5,4,1,4,7,6
"05",1,2,5,4,1,4,7,6
"24",2,2,5,4,1,4,2,6
"24",2,2,5,4,1,4,2,6
"31",1,2,5,4,1,4,4,6
"31",1,3,5,4,1,3,5,6
"05",2,3,5,3,1,4,3,5
"27",1,4,2,3,1,3,3,6
"25",1,2,5,4,1,6,5,6
"18",1,3,5,4,1,1,5,6
"20",1,3,5,2,2,2,3,5
"23",1,4,6,3,1,3,2,5
"02",2,2,1,4,1,3,1,6
"02",2,2,1,4,1,3,1,6
"02",1,2,5,3,2,4,7,6
"28",1,3,1,3,1,2,1,5
"08",1,4,5,4,1,3,5,6
"17",1,4,5,2,1,6,7,6
"16",2,3,1,3,2,3,3,6
"14",1,3,5,4,2,6,3,6
"15",1,3,5,4,2,6,7,6
"16",1,3,6,4,2,4,7,6
"18",1,2,1,3,2,3,5,5
"20",1,3,5,2,2,4,7,6
"20",1,2,6,4,2,1,4,6
"21",1,2,5,3,2,1,3,5
"25",1,3,5,4,2,1,4,5
"32",1,3,5,3,2,2,3,5
"07",1,2,1,1,3,1,3,5
"07",1,2,5,4,3,1,3,5
"10",1,2,1,3,3,6,1,6
"12",2,3,4,2,3,4,2,5
"13",2,4,6,2,3,6,1,6
"14",1,2,5,3,3,2,5,6
"15",2,2,5,3,3,3,7,6
"17",1,3,5,1,3,6,7,6
"21",2,3,4,1,3,6,6,6
"25",1,3,5,1,3,1,4,5
"30",1,2,1,1,3,2,1,5
"30",1,2,5,1,3,2,7,5
"04",1,3,5,1,3,6,1,6
"06",2,3,5,2,3,3,7,6
"25",1,3,5,2,3,6,3,6
"07",1,4,4,1,4,6,1,6
"08",1,3,1,2,4,1,3,5
"12",1,3,5,3,4,6,1,6
"13",1,3,5,1,4,6,2,6
"17",1,2,6,4,4,1,3,5
"19",1,3,5,3,4,2,4,5
"24",1,3,5,3,4,1,1,5
"24",1,4,5,1,4,6,2,6
"24",2,2,4,3,4,3,2,6
"25",1,3,5,4,4,4,3,6
"25",1,3,5,4,4,4,3,6
"25",1,4,4,1,4,4,5,6
"30",1,2,5,4,4,6,7,6
"31",1,3,5,1,4,6,3,6
"09",1,3,5,2,1,1,2,5
"15",1,4,5,3,1,4,2,5
"15",1,4,5,3,1,4,2,5
"15",1,2,5,4,1,3,4,6
"15",1,3,5,3,1,1,3,5
"15",1,3,5,3,1,1,3,5
"15",1,3,5,3,1,1,3,5
"14",1,2,5,3,1,4,5,6
"14",2,3,5,2,1,3,2,5
"14",1,2,6,4,1,1,5,6
"14",1,2,6,4,1,1,5,6
"19",1,3,5,3,1,3,4,6
"19",1,4,4,4,1,6,5,6
"21",1,2,1,3,2,2,4,6
"21",1,3,5,4,2,4,3,6
"21",1,4,5,1,2,2,3,5
"05",1,3,5,4,1,1,3,5
"31",1,3,5,4,1,3,7,5
"28",2,3,5,1,2,4,5,6
"30",1,2,5,4,1,2,5,6
"01",2,3,5,2,2,4,3,5
"01",1,2,5,4,1,4,7,6
"15",1,3,5,3,3,2,3,6
"27",1,3,5,2,1,1,4,5
"07",1,2,1,4,1,4,5,6
"08",1,3,5,4,1,4,1,5
"08",1,3,5,3,1,2,4,6
"08",2,2,5,4,1,4,7,6
"02",1,3,5,4,1,4,7,6
"26",1,3,5,3,1,4,7,6
"26",1,3,5,3,1,3,4,6
"17",1,2,5,3,2,3,2,6
"32",1,2,6,4,1,4,5,6
"23",1,3,3,4,1,1,7,6
"23",1,3,3,4,1,1,7,6
"16",1,2,5,3,1,2,4,5
"22",1,2,1,3,1,4,5,6
"28",1,2,1,4,1,1,3,5
"28",1,3,5,4,1,1,4,6
"28",1,3,5,4,1,1,4,6
"28",1,2,6,3,1,1,2,5
"30",2,3,5,4,1,3,7,6
"30",2,3,1,2,1,3,7,6
"30",2,3,1,2,1,3,7,6
"23",1,2,6,4,2,2,2,6
"23",1,2,6,4,2,2,2,6
"25",1,4,5,4,2,3,5,6
"30",1,3,5,4,2,4,7,6
"30",1,3,5,4,2,4,7,6
"30",1,3,5,4,2,4,7,6
"23",2,3,1,2,2,3,3,5
"24",1,2,5,2,2,1,3,5
"16",1,3,5,2,3,4,3,5
"18",2,3,5,3,3,4,3,6
"20",1,2,5,4,3,2,2,5
"21",1,3,5,1,3,1,2,5
"22",2,3,5,1,3,2,3,6
"07",2,3,3,4,3,2,2,5
"13",1,3,5,2,3,1,3,5
"14",1,2,5,3,3,1,4,5
"14",1,2,5,3,3,1,4,5
"16",1,3,5,1,3,6,4,6
"16",1,3,5,1,3,6,4,6
"21",1,3,5,2,3,6,3,6
"26",1,2,5,2,3,2,5,6
"03",1,2,6,3,4,6,1,6
"10",2,3,1,1,4,4,1,5
"16",1,3,5,3,4,6,5,6
"20",2,3,5,2,4,6,7,6
"21",1,2,1,3,4,1,3,5
"21",1,4,5,2,4,6,2,6
"22",1,3,5,2,4,1,3,5
"25",1,4,5,1,4,6,5,6
"25",1,2,5,4,4,4,7,6
"30",1,2,1,3,4,6,1,6
"30",1,3,1,1,4,1,2,5
"30",1,3,1,1,4,1,2,5
