t_loc,ent,eda,c_ocu11c,ing7c,ambito2,anios_esc,ingocup,mh_col
1,9,63,1,7,4,17,0,1
1,9,63,1,7,4,17,0,1
1,9,70,5,1,2,3,0,0
1,9,65,8,2,3,6,4300,0
1,9,56,8,5,3,9,18060,0
1,9,46,8,1,2,0,0,0
1,9,54,1,7,3,17,0,1
1,9,54,1,7,3,17,0,1
1,9,54,1,7,3,17,0,1
1,9,78,8,1,2,1,1720,0
1,9,34,5,5,3,16,30100,1
1,9,36,1,7,3,16,0,1
1,9,39,8,7,3,12,0,0
1,9,39,8,7,3,12,0,0
1,9,39,8,7,3,12,0,0
1,9,39,6,4,3,17,0,1
2,9,37,10,3,0,6,0,1
1,9,60,6,3,3,13,6450,0
1,9,65,1,4,3,17,0,1
1,15,41,8,2,2,0,5590,0
1,15,64,7,3,2,16,6880,0
2,15,40,1,4,3,17,12900,1
1,15,51,6,7,3,9,0,1
1,15,51,6,7,3,9,0,1
1,15,51,6,7,3,9,0,1
1,15,51,6,7,3,9,0,1
1,15,47,3,5,5,16,0,1
1,15,47,3,5,5,16,0,1
1,15,47,3,5,5,16,0,1
1,15,31,1,4,3,17,15000,0
1,15,31,1,4,3,17,15000,0
2,15,50,5,3,3,17,8600,1
1,15,52,1,3,3,16,0,1
1,15,52,1,3,3,16,0,1
1,15,52,1,3,3,16,0,1
1,15,66,6,7,3,11,0,1
1,14,41,7,3,3,12,0,1
1,14,57,6,3,3,12,0,1
1,14,58,1,7,3,19,0,1
1,14,48,8,7,3,16,0,1
1,14,54,8,2,2,6,5160,0
1,14,43,5,3,2,6,0,0
1,14,33,8,7,4,9,0,0
1,19,42,5,4,2,9,9460,0
1,19,44,5,5,2,9,21500,0
1,19,46,3,4,2,12,12900,1
1,21,59,6,5,4,17,0,1
1,21,61,6,3,3,12,0,1
2,21,42,8,4,3,17,12900,1
1,11,75,5,7,3,16,0,1
1,11,30,5,2,2,9,3440,0
1,5,58,6,2,2,9,3121,0
1,5,54,6,3,4,12,0,1
1,24,67,8,1,2,17,0,0
1,31,62,1,7,3,17,0,1
1,31,74,5,2,3,6,4300,0
