t_loc,ent,eda,c_ocu11c,ing7c,ambito2,anios_esc,ingocup,mh_col
2,31,50,10,4,0,12,12900,1
1,28,64,3,7,3,12,0,1
1,30,48,8,2,3,6,5160,1
1,16,58,1,7,3,13,0,1
3,16,49,5,7,3,6,0,1
1,5,27,1,3,3,16,0,1
1,8,53,6,3,3,12,0,0
1,2,40,6,7,3,15,0,1
1,26,52,6,3,3,8,7740,1
1,10,57,1,5,3,17,21500,1
1,10,38,5,4,3,14,12900,1
1,17,35,3,7,4,12,0,1
1,20,51,1,3,3,18,0,1
1,32,44,5,4,2,9,10750,0
1,6,45,5,3,3,9,6450,1
1,22,29,1,7,3,17,0,1
2,22,45,7,4,2,12,12900,0
3,29,52,8,2,3,1,5160,0
1,23,48,1,7,3,16,0,1
1,13,50,4,4,4,16,10000,1
1,2,37,5,3,2,12,12900,0
1,28,40,5,2,2,10,8170,1
1,2,53,6,7,3,16,0,1
1,11,53,5,3,2,12,7740,0
1,11,53,5,3,2,12,7740,0
1,11,72,8,7,3,12,0,1
1,12,29,5,2,2,12,5590,0
1,16,42,5,4,2,9,10750,1
1,23,50,6,5,3,12,20000,1
1,23,44,3,4,4,12,0,1
1,25,59,8,5,2,17,34400,0
1,25,50,5,3,2,9,8600,0
1,28,46,6,7,3,9,0,0
1,30,31,6,7,3,16,0,1
1,30,44,5,1,2,12,0,0
1,30,57,5,2,2,6,5590,0
1,30,57,5,2,2,6,5590,0
2,6,54,10,2,0,17,4167,1
2,14,69,10,2,0,6,5000,1
2,14,69,10,2,0,6,5000,1
2,16,54,8,2,2,3,5160,0
2,21,53,1,7,3,17,0,1
2,28,66,1,5,3,17,20000,1
2,28,66,1,5,3,17,20000,1
2,8,30,8,3,2,12,8600,0
2,8,61,5,4,2,9,10750,0
2,12,51,3,5,3,9,21500,1
2,13,34,6,3,3,15,6450,0
2,14,42,1,4,3,9,0,0
2,14,62,10,2,0,3,5000,1
2,14,55,5,3,2,9,8600,0
2,14,58,10,3,0,6,0,1
2,15,53,5,7,2,6,0,0
2,16,59,10,2,0,9,4300,1
2,16,59,10,2,0,9,4300,1
2,16,49,10,2,0,9,5000,1
2,16,34,8,1,2,6,2150,0
2,17,44,6,7,3,6,0,1
2,20,35,3,4,4,17,15000,1
2,21,56,10,2,0,10,3750,1
2,21,43,5,3,4,12,9000,0
2,25,39,10,7,0,17,0,1
2,30,38,1,2,2,9,4000,0
2,31,47,3,7,3,16,0,1
2,32,70,10,7,0,0,0,1
3,2,65,5,7,3,12,0,1
3,2,65,5,7,3,12,0,1
3,7,58,3,3,3,9,8000,1
3,11,52,10,5,0,0,33333,1
3,14,23,8,2,3,9,4300,0
3,15,46,6,4,3,9,0,1
3,18,48,8,4,3,9,12900,0
3,20,57,5,3,2,5,7740,0
3,20,62,5,3,2,7,6450,0
3,21,45,6,2,3,12,0,1
3,21,41,8,1,2,9,2400,0
3,21,41,8,1,2,9,2400,0
3,21,59,10,1,0,6,0,1
3,25,47,5,3,3,6,6450,0
3,30,27,6,7,2,9,0,1
3,13,40,5,7,2,9,0,0
3,15,38,3,7,3,9,0,1
3,16,57,10,7,0,0,0,1
3,16,58,10,3,0,2,6450,1
3,27,74,10,1,0,0,2000,1
3,29,51,6,3,2,9,8600,0
3,29,63,1,4,4,6,12900,1
3,31,31,6,2,3,6,5160,1
3,32,55,6,1,3,3,645,0
4,1,39,6,7,3,12,0,1
4,2,39,1,7,2,16,0,0
4,2,67,6,3,4,16,15050,1
4,3,65,6,1,3,9,0,1
4,7,72,10,2,0,2,5250,1
4,7,72,10,2,0,2,5250,1
4,7,42,5,2,2,6,3225,0
4,11,73,10,7,0,0,0,1
4,12,39,10,1,0,11,0,1
4,12,66,3,3,3,6,7740,0
4,12,66,3,3,3,6,7740,0
4,12,66,10,6,0,0,0,1
4,12,61,5,3,3,12,8600,0
4,12,65,10,6,0,0,0,1
4,13,58,10,1,0,9,540,1
4,13,58,10,1,0,9,540,1
4,15,40,10,2,0,12,3121,1
4,15,40,10,2,0,12,3121,1
4,15,61,10,6,0,2,0,1
4,17,23,3,3,3,12,0,1
4,18,79,10,2,0,12,5000,1
4,20,38,5,4,2,12,12900,0
4,20,46,5,3,3,12,8600,0
4,20,45,8,2,3,8,3440,0
4,20,57,5,2,2,9,5160,0
4,20,55,10,1,0,3,1667,1
4,20,64,5,5,3,8,0,0
4,22,42,5,4,3,9,0,1
4,23,21,5,1,2,9,860,0
4,24,49,10,3,0,9,0,1
4,24,50,5,2,2,5,5160,0
4,25,35,6,7,2,9,0,0
4,27,77,10,1,0,0,2500,1
4,28,38,5,1,2,12,5160,0
4,30,77,10,1,0,3,0,1
4,30,71,10,7,0,1,0,1
4,30,71,10,7,0,1,0,1
4,31,55,10,4,0,6,12900,1
1,9,36,8,4,3,9,10750,1
1,9,42,3,3,4,17,0,1
1,9,38,5,5,3,16,64500,0
1,9,63,8,3,3,11,6450,0
1,9,63,8,3,3,11,6450,0
1,15,62,3,5,4,16,20000,1
1,15,62,3,5,4,16,20000,1
1,15,37,6,4,3,16,0,1
1,15,37,6,4,3,16,0,1
1,15,53,8,1,2,9,1290,0
1,15,53,8,1,2,9,1290,0
1,14,60,5,2,3,6,6000,0
1,14,42,1,4,3,17,0,1
1,14,24,1,4,3,15,12000,1
1,19,27,8,7,3,17,0,1
1,21,23,3,7,2,9,0,0
1,5,65,6,2,3,17,4300,1
1,31,34,6,5,3,12,20000,1
1,8,37,5,5,2,9,30000,1
1,1,57,1,7,4,17,0,1
1,1,22,1,7,3,13,0,1
1,7,55,3,5,5,17,20000,1
1,25,48,7,4,2,12,12000,1
1,26,54,3,7,3,12,0,1
1,17,49,5,3,2,9,7740,0
2,20,54,8,3,3,12,8600,0
1,22,54,1,7,0,16,0,1
2,22,66,6,5,3,10,20000,1
1,23,30,5,3,2,9,6450,0
1,11,50,5,4,3,12,9890,1
1,12,66,6,5,2,11,18000,0
1,12,66,6,5,2,11,18000,0
1,24,25,5,2,2,9,5000,1
1,25,55,1,4,3,17,10000,1
1,28,34,5,3,3,9,12900,1
1,28,26,3,2,3,10,8000,1
2,8,59,5,4,2,6,10750,0
2,16,43,1,5,3,19,16000,1
2,16,69,6,4,2,9,10750,0
2,26,36,6,3,2,9,12900,0
2,7,50,6,3,2,0,9000,0
2,17,37,5,1,2,12,0,0
2,20,36,1,3,3,17,0,1
2,21,60,5,2,3,6,6000,0
2,27,57,3,3,3,12,9000,1
2,31,26,5,2,2,9,5160,0
3,6,40,6,5,3,16,20000,1
3,14,63,8,3,3,9,8600,1
3,16,49,5,4,3,9,9890,1
3,7,58,10,1,0,6,2167,1
3,30,98,6,3,2,6,9030,0
4,8,86,10,2,0,3,4166,1
4,14,66,6,4,2,0,10750,0
4,14,66,6,4,2,0,10750,0
4,14,48,8,2,3,9,0,1
4,20,52,5,3,2,1,7740,0
4,21,46,5,2,2,2,5160,0
4,21,46,5,2,2,2,5160,0
4,21,49,10,1,0,9,0,1
4,26,46,10,3,0,8,8600,1
4,27,56,6,3,3,12,8600,1
4,27,46,10,1,0,9,1500,1
4,30,44,10,3,0,9,0,1
4,32,48,5,2,2,9,3870,0
1,9,39,1,5,3,16,20000,1
1,9,47,5,2,2,9,0,0
1,9,27,3,5,0,16,20000,1
1,9,35,5,4,2,6,12040,0
1,15,30,1,2,3,11,0,1
1,15,63,6,7,3,8,0,1
1,15,63,6,7,3,8,0,1
1,15,50,5,7,4,12,0,1
1,15,50,5,7,4,12,0,1
1,14,24,6,5,3,6,21500,1
1,14,68,3,3,3,6,0,1
1,14,46,5,3,2,9,6450,0
1,21,33,5,4,3,16,0,1
3,31,46,7,4,2,13,12000,0
1,8,39,5,5,2,9,25800,0
1,12,47,5,4,2,6,10320,0
1,1,42,5,3,2,11,8170,0
3,27,33,6,3,3,12,9000,0
1,8,37,8,1,3,4,0,1
1,25,45,5,7,3,17,0,1
1,26,75,8,7,2,6,0,0
1,22,36,8,7,4,16,0,1
1,7,48,1,4,4,16,15000,1
1,7,30,6,4,3,9,14000,0
1,25,32,8,7,4,16,0,1
1,32,33,6,2,3,17,6000,1
2,16,62,5,3,2,12,8600,0
2,16,62,5,3,2,12,8600,0
2,24,46,1,2,3,6,4300,1
2,30,93,4,7,4,20,0,1
2,7,64,5,1,2,0,1290,0
2,12,46,1,4,2,17,10000,1
2,13,58,6,2,3,17,5000,1
2,14,44,3,5,4,9,34400,1
2,16,61,10,4,0,17,13333,1
3,14,30,5,4,2,16,0,1
3,18,29,5,3,2,12,6450,1
3,20,36,5,3,2,6,8600,0
3,31,38,5,3,2,6,8600,0
3,31,47,8,4,4,6,12000,1
3,2,50,8,3,3,8,12900,1
3,11,32,10,3,0,9,8600,1
3,22,43,5,4,2,6,10750,0
3,27,50,10,6,0,9,0,1
3,27,50,10,6,0,9,0,1
3,30,37,10,7,0,6,0,1
4,3,55,10,2,0,1,3870,1
4,10,47,10,1,2,3,3000,1
4,11,38,5,3,2,2,8600,0
4,13,45,5,3,2,9,8600,0
4,14,30,1,2,2,16,4300,0
4,14,30,1,2,2,16,4300,0
4,17,61,10,7,0,4,0,1
4,18,65,10,2,0,4,6000,1
4,21,76,10,1,0,0,667,1
4,21,76,10,1,0,0,667,1
4,27,35,5,4,4,9,12900,0
4,32,64,5,3,3,9,7000,1
1,9,38,8,4,3,2,10750,1
1,9,70,5,2,2,7,5000,0
1,9,49,5,4,2,6,0,0
1,9,49,5,4,2,6,0,0
1,15,54,6,1,2,0,800,0
1,15,66,1,4,4,16,10000,1
1,15,60,8,2,3,6,5160,0
1,15,41,6,1,3,9,0,1
1,14,66,7,4,3,7,0,1
1,14,42,6,7,4,9,0,1
1,19,45,5,4,2,6,10750,0
2,19,33,3,4,3,17,0,1
2,19,33,3,4,3,17,0,1
3,21,38,6,4,2,4,10500,0
1,11,31,8,1,4,12,0,1
1,27,68,6,4,3,14,12000,1
1,2,36,1,7,3,16,0,1
1,25,48,1,5,3,17,0,1
1,18,55,8,3,4,17,6450,1
1,22,49,1,4,2,15,0,1
3,29,32,5,3,2,6,7310,0
3,29,30,5,2,2,9,4300,0
1,3,41,6,1,3,12,3000,0
1,3,40,6,3,4,14,0,1
1,2,29,6,7,3,12,0,0
1,4,54,5,5,2,3,17200,0
1,22,40,5,7,3,9,0,1
1,23,56,5,4,2,9,12040,0
1,25,24,10,2,0,11,0,1
1,25,53,5,3,2,6,8600,0
2,23,60,4,2,3,3,6000,1
2,30,24,8,4,3,9,9890,0
3,16,76,6,4,3,17,12900,1
3,21,51,5,3,2,0,7740,0
3,21,51,5,3,2,0,7740,0
3,31,31,5,3,3,14,8600,0
3,15,73,8,3,3,2,8600,1
4,4,24,10,2,0,6,4167,1
4,5,42,5,5,3,16,17200,1
4,11,57,5,3,3,9,0,0
4,12,36,10,1,0,9,450,1
4,13,41,5,3,2,9,6450,0
4,13,34,10,2,0,9,0,1
4,13,33,5,2,2,6,5590,0
4,14,80,10,2,0,3,4166,1
4,16,35,5,3,2,9,7740,0
4,16,33,10,1,0,6,983,1
4,18,83,10,2,0,2,3333,1
4,24,64,6,1,0,6,208,1
4,27,59,6,4,3,12,9460,1
4,28,81,10,7,0,8,0,1
4,29,27,6,7,3,17,0,0
4,30,31,6,7,2,9,0,1
1,9,57,7,1,2,12,860,0
1,9,40,1,4,4,16,10000,1
1,15,28,8,3,2,3,8600,0
1,15,28,8,3,2,3,8600,0
1,15,41,3,3,3,17,8600,0
3,15,21,5,4,2,6,12900,0
3,15,21,5,4,2,6,12900,0
1,15,29,5,4,2,9,10320,0
1,14,33,6,4,3,12,0,1
1,14,57,5,4,2,2,12900,0
2,14,70,8,3,3,12,6880,1
1,19,59,6,4,3,17,0,1
1,5,37,6,5,4,17,150000,1
1,24,34,3,7,4,18,0,1
1,28,70,5,3,2,2,6450,0
1,1,46,1,7,3,10,0,1
1,16,75,3,7,3,3,0,1
1,2,37,4,2,4,12,0,1
1,2,39,5,2,3,12,0,1
1,25,54,8,5,3,11,21500,1
1,10,48,1,5,3,17,25000,1
1,10,30,6,2,3,17,0,0
1,6,36,5,2,2,9,0,0
1,2,66,3,7,3,17,0,1
3,2,39,1,7,3,16,0,1
1,8,41,3,4,4,17,10000,1
1,16,44,8,5,3,9,25800,1
1,20,43,5,3,3,9,8600,0
1,25,47,8,5,3,12,20640,0
2,7,42,5,3,2,0,7740,0
2,13,30,6,3,3,16,8600,0
2,13,41,3,3,3,9,8600,1
2,24,45,1,5,3,19,17200,1
2,24,45,1,5,3,19,17200,1
2,30,30,6,4,2,9,10750,0
3,15,30,5,2,3,12,0,1
3,15,30,5,2,3,12,0,1
3,21,68,10,1,0,5,0,1
3,27,51,7,1,2,3,2580,0
3,7,46,5,4,3,9,10000,1
3,13,73,8,2,3,2,4000,0
3,13,73,8,2,3,2,4000,0
3,15,49,6,2,3,6,0,0
3,16,52,6,1,2,8,1720,0
3,18,44,5,2,2,6,4300,0
4,7,67,10,1,0,6,1667,1
4,10,58,5,2,2,6,4300,0
4,11,52,5,3,2,0,0,0
4,11,52,5,3,2,0,0,0
4,16,60,10,2,0,0,5000,1
4,17,65,5,7,3,6,0,0
4,17,68,10,7,0,6,0,1
4,19,46,6,3,3,9,8000,1
4,20,47,10,1,0,6,2917,1
4,21,58,5,3,2,6,8600,0
4,21,58,5,3,2,6,8600,0
4,24,50,6,4,3,9,10500,0
4,25,47,5,2,3,12,4300,1
4,27,39,10,6,0,9,0,1
4,27,55,1,7,2,12,0,1
4,30,57,10,7,0,9,0,1
4,30,56,10,2,0,11,4167,1
4,30,27,10,6,0,12,0,1
4,30,27,10,6,0,12,0,1
4,30,40,6,7,2,12,0,0
4,30,40,6,7,2,12,0,0
1,9,31,1,7,4,17,0,1
1,9,48,6,5,4,17,20000,1
2,9,65,10,7,0,6,0,1
1,9,64,5,4,3,6,0,1
1,15,68,8,2,3,12,6000,1
1,15,68,8,2,3,12,6000,1
1,15,49,5,3,2,9,0,0
1,15,49,5,3,2,9,0,0
1,15,49,5,3,2,9,0,0
3,14,43,8,7,3,12,0,0
1,19,55,6,2,2,14,5160,0
1,21,38,5,2,2,6,0,0
1,11,45,5,7,0,9,0,1
1,5,61,8,3,3,6,0,1
1,24,67,6,1,3,16,0,1
2,31,43,5,2,2,5,3870,0
2,31,43,5,2,2,5,3870,0
1,28,47,5,7,0,12,0,1
1,2,51,5,2,2,6,6450,0
1,2,59,6,2,3,9,8600,1
1,2,24,5,3,2,6,11180,0
1,2,26,3,7,3,16,0,1
1,5,45,3,5,3,16,30000,1
1,12,65,8,1,3,17,0,0
1,17,59,8,3,3,9,6450,1
2,11,47,8,2,2,0,3440,0
2,26,27,3,2,3,10,7310,1
2,14,39,5,4,2,6,12900,0
2,14,39,5,4,3,16,0,1
2,15,34,5,2,2,6,0,0
2,21,47,5,2,3,12,0,1
2,22,47,8,3,2,9,7740,1
3,10,45,6,2,4,12,5000,1
3,19,53,8,5,3,11,51600,1
3,21,46,10,5,0,12,0,1
3,31,64,5,4,3,17,15000,1
3,30,42,8,1,3,3,1500,1
4,5,47,10,2,0,9,4167,1
4,7,76,10,1,0,6,2917,1
4,11,47,5,4,2,9,12900,1
4,12,53,5,2,2,12,3870,0
4,12,43,10,1,0,6,0,1
4,12,79,10,4,0,6,15050,1
4,20,53,5,4,2,4,10750,0
4,21,46,10,2,0,6,0,1
4,21,81,10,2,0,3,0,1
4,30,55,10,7,0,0,0,1
1,9,57,6,1,2,0,0,0
1,9,49,3,7,4,17,0,1
1,9,64,6,3,2,6,7740,0
1,9,29,8,7,3,12,0,1
1,9,50,8,7,3,12,0,1
1,9,41,6,4,2,9,10000,1
1,15,59,3,4,4,12,15000,1
1,15,59,3,4,4,12,15000,1
2,15,49,1,2,3,16,0,1
2,15,49,1,2,3,16,0,1
1,15,46,5,4,3,9,10000,1
1,15,46,5,4,3,9,10000,1
1,15,54,6,2,3,6,6000,1
1,14,57,3,4,4,13,10000,1
1,14,50,8,2,3,9,0,0
3,14,69,3,4,4,17,0,1
1,14,32,5,5,3,16,17200,1
1,21,42,1,7,3,9,0,1
1,21,50,8,7,3,12,0,1
1,21,50,8,7,3,12,0,1
1,11,48,6,7,4,9,0,1
1,8,70,1,4,3,19,0,1
1,30,53,8,1,3,9,3010,1
1,2,63,1,4,3,17,25800,1
1,10,46,1,4,3,18,10000,1
1,18,31,1,5,3,15,20000,1
1,20,40,8,4,3,17,12900,1
3,20,39,5,2,2,9,3500,0
1,20,34,1,2,0,12,4300,0
1,3,30,8,4,0,12,10000,1
1,14,70,8,7,3,9,0,1
3,16,46,8,3,3,6,9000,0
3,17,41,5,7,2,9,0,0
1,25,55,7,4,2,12,12000,1
2,14,26,5,3,2,6,0,0
2,14,26,5,3,2,6,0,0
2,16,87,6,7,3,6,0,1
2,19,48,10,1,0,9,2333,1
2,24,55,5,7,2,6,0,0
2,26,44,7,2,2,17,9000,1
2,7,34,5,2,3,13,5590,0
2,7,58,6,3,2,12,8600,0
2,8,47,6,7,3,9,0,1
2,13,48,3,7,3,16,0,1
2,14,70,5,3,2,6,0,0
2,14,48,5,2,2,6,5590,0
2,25,51,8,4,3,12,12900,0
2,26,53,5,7,2,12,0,0
2,27,61,6,3,3,1,6450,0
3,3,58,7,5,2,6,17200,0
3,7,67,10,1,0,0,1667,1
3,7,61,8,1,2,13,1720,0
3,12,78,5,1,2,0,1290,0
3,12,78,5,1,2,0,1290,0
3,20,37,10,1,0,12,1290,1
3,30,36,6,1,2,16,3010,0
3,21,77,6,3,3,6,0,0
4,1,37,5,4,2,5,9460,0
4,4,53,10,1,0,9,800,1
4,7,29,10,1,0,9,1250,1
4,7,39,10,1,0,9,600,1
4,13,50,5,1,2,9,2150,0
4,14,67,10,2,0,2,5160,1
4,16,49,5,3,3,12,8000,1
4,16,80,10,1,0,0,2916,1
4,23,61,10,1,0,4,2500,1
4,32,52,10,1,0,3,0,1
1,9,41,7,7,2,9,0,0
1,9,42,7,4,2,6,0,0
1,9,42,7,4,2,6,0,0
1,9,37,6,7,2,12,0,0
1,15,43,5,4,2,6,9460,0
1,15,43,5,4,2,6,9460,0
1,15,51,8,1,3,16,0,0
1,15,49,6,3,3,6,0,1
1,14,33,1,5,4,16,0,1
1,14,33,1,5,4,16,0,1
1,14,47,5,5,2,9,0,0
1,14,47,3,4,4,9,0,1
3,21,34,7,5,2,17,0,1
1,21,25,1,7,3,15,0,1
3,27,28,8,4,3,14,12900,0
1,8,36,1,5,3,12,43000,1
1,23,63,3,1,3,17,0,1
1,2,32,4,2,3,16,0,1
1,2,42,5,2,2,11,8000,1
1,5,42,3,4,3,16,15000,1
1,5,53,1,4,2,17,17200,0
1,11,35,8,5,3,9,16000,1
1,23,45,1,2,2,99,4000,1
1,25,47,5,4,3,12,12900,1
1,26,57,5,7,0,12,0,1
2,11,48,7,2,2,12,0,0
2,16,21,8,2,3,14,4300,0
2,2,41,7,3,2,12,15050,1
2,3,39,5,3,2,4,8600,0
2,6,58,6,2,3,6,0,1
2,16,49,10,2,0,6,3333,1
2,16,49,10,2,0,6,3333,1
2,18,26,5,4,3,15,10750,1
2,32,67,6,7,3,6,0,1
2,32,57,5,4,2,3,10320,0
3,22,24,8,5,3,15,38700,1
3,29,58,5,3,3,6,8600,1
3,32,21,10,7,0,13,0,1
3,32,41,8,4,3,6,12900,1
3,14,39,5,3,2,3,8170,0
3,27,53,5,7,2,9,0,0
4,2,33,5,3,2,6,11180,0
4,7,46,10,5,0,6,83333,1
4,13,43,8,4,2,6,12900,0
4,21,64,10,1,0,5,0,1
4,21,60,10,4,0,0,0,1
4,24,71,10,6,0,6,0,1
1,9,57,1,7,4,18,0,1
1,9,41,5,3,2,0,0,0
1,9,32,6,1,2,8,2580,0
1,9,61,8,7,3,17,0,1
1,9,45,1,4,3,16,0,1
1,9,46,1,2,2,12,0,1
1,15,47,6,7,2,16,0,1
1,15,47,6,7,2,16,0,1
1,15,47,6,7,2,16,0,1
1,15,36,5,7,3,9,0,0
1,15,36,5,7,3,9,0,0
1,15,36,5,7,3,9,0,0
1,19,32,6,7,4,16,0,1
1,1,56,1,3,3,17,8600,1
1,27,41,8,3,2,17,9000,0
1,7,65,1,5,3,12,16000,1
1,7,67,5,2,2,4,5160,0
1,2,35,6,2,2,9,10320,0
1,25,54,1,4,3,17,14000,1
1,6,55,8,1,2,9,3010,0
1,23,40,1,3,3,16,8600,1
2,13,70,6,3,3,6,8600,1
2,13,70,6,3,3,6,8600,1
1,17,65,5,7,2,6,0,0
1,25,45,8,5,2,9,30100,0
1,25,38,5,4,2,8,12900,0
1,28,64,3,5,0,17,0,1
1,28,64,3,5,0,17,0,1
1,30,98,6,7,4,6,0,1
2,16,64,6,2,3,3,6000,0
2,25,46,5,4,2,12,12900,0
2,3,48,5,5,3,16,21500,1
2,14,58,3,3,3,9,0,0
2,16,59,5,3,2,2,7740,0
2,19,33,7,5,2,9,30100,0
2,30,49,8,2,3,4,6020,1
3,13,66,10,7,0,13,0,1
3,15,48,8,3,3,6,0,0
3,16,54,5,5,3,9,18060,0
3,19,62,8,1,3,6,3000,1
3,24,35,5,3,2,6,8600,0
3,2,55,5,2,2,1,7740,0
3,11,48,6,3,3,9,8600,1
3,20,60,10,1,0,9,250,1
4,10,43,6,3,2,6,6450,0
4,16,51,5,4,3,12,12900,1
4,16,27,10,2,0,6,4167,1
4,16,53,8,3,3,6,6450,0
4,21,45,5,3,2,9,6450,0
4,28,59,5,2,2,6,3870,0
4,28,59,5,2,2,6,3870,0
4,32,76,10,3,0,2,8333,1
1,9,58,5,4,2,6,10750,0
1,15,60,6,3,4,17,0,1
1,14,38,5,3,2,6,8600,0
1,19,33,8,3,3,15,8600,0
1,19,33,8,3,3,15,8600,0
1,19,61,6,4,3,16,15000,0
1,19,34,5,4,2,12,12000,0
1,5,55,5,5,3,19,35000,1
2,7,40,1,4,3,17,12000,1
1,7,57,5,2,2,0,5590,0
1,8,52,6,7,2,4,0,0
1,8,34,3,2,4,12,0,1
1,8,65,6,5,3,6,30100,1
1,8,50,3,3,3,9,0,1
1,18,43,3,7,3,12,0,1
1,2,56,6,2,3,5,8600,0
1,25,51,8,3,2,12,9030,0
1,26,32,5,5,3,15,20000,1
1,26,32,5,5,3,15,20000,1
1,28,21,6,1,2,15,4300,0
2,30,52,6,2,3,6,0,1
2,30,52,6,2,3,6,0,1
2,30,52,6,2,3,6,0,1
2,11,50,8,7,3,12,0,1
2,7,43,5,3,2,6,6450,0
2,7,60,6,3,3,6,7740,1
2,32,60,5,3,2,3,6450,0
3,7,60,6,5,4,17,45000,1
3,14,41,6,3,3,12,6450,1
4,11,47,5,1,3,6,2580,0
4,12,34,10,1,0,12,600,1
4,14,84,10,1,0,0,3000,1
4,15,36,5,2,2,6,4300,0
4,20,29,6,2,3,12,0,1
4,24,32,8,2,3,12,4300,0
4,30,38,1,2,3,16,4300,0
4,30,53,10,1,0,0,250,1
1,9,48,5,3,2,11,8600,0
1,9,48,5,3,2,11,8600,0
2,15,67,3,5,3,12,18000,1
1,15,83,8,1,3,12,0,0
1,15,67,5,2,2,6,0,0
1,15,32,3,7,2,9,0,1
1,15,32,3,7,2,9,0,1
1,15,48,3,2,3,12,4000,1
1,15,36,5,3,2,16,8000,0
2,15,43,8,7,3,12,0,0
2,15,43,8,7,3,12,0,0
1,14,31,1,3,2,12,0,1
1,14,47,5,3,2,6,8600,0
1,14,56,6,2,3,17,0,1
1,14,37,6,4,3,16,12000,1
1,19,34,6,3,3,11,0,1
1,19,39,3,5,4,17,37000,1
1,19,44,6,4,2,6,12900,0
2,21,61,5,2,3,6,0,0
1,11,46,5,1,3,13,0,0
1,5,77,5,2,2,6,4300,0
1,10,47,5,3,2,7,6450,0
1,10,44,3,5,3,9,21500,1
1,31,42,6,1,3,12,258,1
1,5,42,5,5,3,6,25000,0
1,7,34,6,1,3,12,3000,1
1,7,35,8,2,2,5,5160,1
1,2,31,6,2,2,12,8600,0
1,25,43,3,5,4,16,20000,1
1,25,43,3,5,3,18,0,1
1,26,48,6,3,3,12,8600,0
1,26,47,5,5,3,17,38700,1
1,10,56,3,2,0,17,0,1
1,18,35,6,1,3,9,1720,1
1,4,57,1,3,3,17,0,1
3,29,40,5,3,2,9,6450,0
3,29,51,1,4,3,12,0,1
1,28,30,6,7,3,14,0,1
1,28,30,6,7,3,14,0,1
3,11,39,8,3,3,6,6880,0
1,20,37,5,1,3,6,0,0
1,26,50,8,4,4,9,12000,1
1,26,40,8,2,3,9,5590,1
1,30,31,1,4,3,16,10750,1
2,26,47,5,3,2,8,12900,0
2,3,71,10,5,0,6,33333,1
2,7,45,5,3,2,6,7740,0
2,15,42,5,5,3,12,0,1
2,25,59,10,7,0,17,0,1
2,29,70,10,2,0,6,3333,1
3,8,57,6,3,3,8,6450,0
3,22,33,1,3,3,18,8000,1
3,7,55,10,1,0,3,1750,1
3,7,55,10,1,0,3,1750,1
3,25,51,5,2,2,9,5160,0
4,7,48,10,3,2,12,6667,1
4,10,53,1,2,4,9,4300,0
4,12,47,10,2,0,9,3583,1
4,12,57,10,1,0,11,2580,1
4,16,40,10,2,0,6,3333,1
4,16,52,5,3,3,11,8600,0
4,21,23,5,3,3,12,8600,0
4,21,23,5,3,3,12,8600,0
4,21,47,6,4,3,9,0,1
4,30,63,10,2,0,3,4300,1
1,9,71,6,4,3,2,0,1
1,9,71,6,4,3,2,0,1
1,9,50,7,4,2,12,15000,0
1,9,50,7,4,2,12,15000,0
1,9,44,6,3,3,12,0,0
1,9,31,5,3,3,12,0,0
1,9,49,5,2,3,9,5160,1
1,15,48,5,3,3,8,0,0
1,15,48,5,3,3,8,0,0
